Id,Year,Variety,Owner,IdOwnerVarietyYear,Species,Country,Region,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,CleanCup,Sweetness,CupperPoints,TotalCupPoints,Color,AltitudeLowMeters,AltitudeHighMeters,AltitudeMeanMeters
10,2014,,Mohammed Lalo,"10, Mohammed Lalo, 2014",Arabica,Ethiopia,oromia,8.17,8.67,8.25,8.5,7.75,8.17,10,10,10,8.58,88.08,,1855,1955,1905
11,2014,Other,Cqi Q Coffee Sample Representative,"11, Cqi Q Coffee Sample Representative, 2014, Other",Arabica,United States,antioquia,8.25,8.42,8.17,8.33,8.08,8.17,10,10,10,8.5,87.92,,1872,1872,1872
12,2014,Other,Cqi Q Coffee Sample Representative,"12, Cqi Q Coffee Sample Representative, 2014, Other",Arabica,United States,antioquia,8.08,8.67,8.33,8.42,8,8.08,10,10,10,8.33,87.92,,1943,1943,1943
13,2009,,Grounds For Health Admin,"13, Grounds For Health Admin, 2009",Arabica,United States,kona,8.33,8.42,8.08,8.25,8.25,8,10,10,10,8.58,87.92,,185.80608,185.80608,185.80608
14,,,Ethiopia Commodity Exchange,"14, Ethiopia Commodity Exchange",Arabica,Ethiopia,oromiya,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,87.83,,1570,1700,1635
15,2014,Other,Cqi Q Coffee Sample Representative,"15, Cqi Q Coffee Sample Representative, 2014, Other",Arabica,United States,antioquia,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,87.58,,2080,2080,2080
16,,,Grounds For Health Admin,"16, Grounds For Health Admin",Arabica,Indonesia,sulawesi,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,87.42,,1200,1800,1500
17,2009,,Ethiopia Commodity Exchange,"17, Ethiopia Commodity Exchange, 2009",Arabica,Ethiopia,yirgacheffe,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,87.33,,,,
18,2015,Catimor,Yunnan Coffee Exchange,"18, Yunnan Coffee Exchange, 2015, Catimor",Arabica,China,yunnan,8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,87.25,Green,1450,1450,1450
19,2014,Ethiopian Yirgacheffe,Essencecoffee,"19, Essencecoffee, 2014, Ethiopian Yirgacheffe",Arabica,Ethiopia,gedio,8.17,8.17,8,8.17,8.08,8.33,10,10,10,8.33,87.25,,1700,2000,1850
20,2014,Other,Cqi Q Coffee Sample Representative,"20, Cqi Q Coffee Sample Representative, 2014, Other",Arabica,United States,antioquia,8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,87.25,None,2019,2019,2019
21,2014,Caturra,The Coffee Source Inc.,"21, The Coffee Source Inc., 2014, Caturra",Arabica,Costa Rica,san ramon,8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,87.17,Green,1300,1300,1300
22,2012,Other,Roberto Licona Franco,"22, Roberto Licona Franco, 2012, Other",Arabica,Mexico,xalapa,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,87.17,Green,1320,1320,1320
23,2014,Other,Cqi Q Coffee Sample Representative,"23, Cqi Q Coffee Sample Representative, 2014, Other",Arabica,United States,antioquia,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,87.08,,2112,2112,2112
24,2013,,Ji-Ae Ahn,"24, Ji-Ae Ahn, 2013",Arabica,Ethiopia,sidamo,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,87.08,Bluish-Green,,,
25,2011,Bourbon,Nucoffee,"25, Nucoffee, 2011, Bourbon",Arabica,Brazil,south of minas,8.5,8.5,8,8,8,8,10,10,10,7.92,86.92,Green,1250,1250,1250
26,2009,,Ethiopia Commodity Exchange,"26, Ethiopia Commodity Exchange, 2009",Arabica,Ethiopia,sidamo,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,86.92,,,,
27,2013,SL14,Kabum Trading Company,"27, Kabum Trading Company, 2013, SL14",Arabica,Uganda,kapchorwa eastern,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,86.83,Green,1950,1950,1950
28,2016,Caturra,Bismarck Castro,"28, Bismarck Castro, 2016, Caturra",Arabica,Honduras,comayagua,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,86.67,Green,1400,1400,1400
29,2015,Sumatra,"Lin, Che-Hao Krude ∆ûó≈ì≤»±™","29, Lin, Che-Hao Krude ∆ûó≈ì≤»±™, 2015, Sumatra",Arabica,Taiwan,"leye, alishan township, chiayi county",8,8,8,8.25,8,8.17,10,10,10,8.17,86.58,Green,1200,1200,1200
30,,,Nora Zeas,"30, Nora Zeas",Arabica,Nicaragua,,7.92,8.25,8,8.33,8,8.08,10,10,10,8,86.58,,,,
31,2012,,Specialty Coffee-Korea,"31, Specialty Coffee-Korea, 2012",Arabica,Tanzania,,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,86.5,Bluish-Green,,,
32,2011,Bourbon,Nucoffee,"32, Nucoffee, 2011, Bourbon",Arabica,Brazil,vale da grama,8.5,8.17,8,7.75,8,8,10,10,10,8,86.42,Green,1300,1300,1300
33,2015,Caturra,Francisco A Mena,"33, Francisco A Mena, 2015, Caturra",Arabica,Costa Rica,west and central valley,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,86.33,Blue-Green,1300,1300,1300
34,2014,,Hider Abamecha,"34, Hider Abamecha, 2014",Arabica,Ethiopia,oromia,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,86.25,Green,1750,1800,1775
35,2013,SL34,Daniel Magu,"35, Daniel Magu, 2013, SL34",Arabica,Kenya,muranga,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,86.25,Blue-Green,1800,1800,1800
36,2012,Hawaiian Kona,Kona Pacific Farmers Cooperative,"36, Kona Pacific Farmers Cooperative, 2012, Hawaiian Kona",Arabica,United States,kona,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,86.25,,,,
37,2010,,Kona Pacific Farmers Cooperative,"37, Kona Pacific Farmers Cooperative, 2010",Arabica,United States,kona,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,86.25,,,,
38,2009,,Ethiopia Commodity Exchange,"38, Ethiopia Commodity Exchange, 2009",Arabica,Ethiopia,yirgacheffe,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,86.25,,,,
39,2014,Other,Cqi Q Coffee Sample Representative,"39, Cqi Q Coffee Sample Representative, 2014, Other",Arabica,United States,antioquia,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,86.17,,1941,1941,1941
40,2012,Caturra,Itdp International,"40, Itdp International, 2012, Caturra",Arabica,Thailand,chiang rai,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,86.17,Green,1300,1300,1300
41,2010,Yellow Bourbon,Jacques Pereira Carneiro,"41, Jacques Pereira Carneiro, 2010, Yellow Bourbon",Arabica,Brazil,sul de minas - carmo de minas,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,86.17,,12,12,12
42,2010,Yellow Bourbon,Jacques Pereira Carneiro,"42, Jacques Pereira Carneiro, 2010, Yellow Bourbon",Arabica,Brazil,sul de minas - carmo de minas,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,86.17,,12,12,12
43,2015,Bourbon,"Lin, Che-Hao Krude ∆ûó≈ì≤»±™","43, Lin, Che-Hao Krude ∆ûó≈ì≤»±™, 2015, Bourbon",Arabica,Taiwan,natou county,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,86.08,Green,1000,1000,1000
44,2014,SL28,Jungle Estate,"44, Jungle Estate, 2014, SL28",Arabica,Kenya,nyeri,8.08,8.08,8,8,7.83,8.08,10,10,10,8,86.08,Bluish-Green,1754,1754,1754
45,2011,Bourbon,Nucoffee,"45, Nucoffee, 2011, Bourbon",Arabica,Brazil,south of minas,8.33,8,8,8,7.75,8,10,10,10,8,86.08,Blue-Green,1250,1250,1250
46,2014,,Great Lakes Coffee Uganda,"46, Great Lakes Coffee Uganda, 2014",Arabica,Uganda,eastern uganda,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,86,,,,
47,2013,Caturra,Lusso Lab,"47, Lusso Lab, 2013, Caturra",Arabica,Colombia,tolima,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,86,Green,900,1500,1200
48,2013,SL28,Lusso Lab,"48, Lusso Lab, 2013, SL28",Arabica,Kenya,kiambu,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,86,Green,1520,2200,1860
49,2012,Other,Afca,"49, Afca, 2012, Other",Arabica,Uganda,"sipi, mt elgon",8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,86,Blue-Green,1400,1900,1650
50,2009,,Ethiopia Commodity Exchange,"50, Ethiopia Commodity Exchange, 2009",Arabica,Ethiopia,sidamo,7.75,8.08,8,8.25,8,8,10,10,10,7.92,86,,1500,2000,1750
51,2009,,Grounds For Health Admin,"51, Grounds For Health Admin, 2009",Arabica,United States,kona,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,86,,130.064256,130.064256,130.064256
52,2016,Bourbon,Juan Luis Alvarado Romero,"52, Juan Luis Alvarado Romero, 2016, Bourbon",Arabica,Guatemala,nuevo oriente,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,85.92,Green,,,
53,2013,SL14,Kawacom Uganda Ltd,"53, Kawacom Uganda Ltd, 2013, SL14",Arabica,Uganda,eastern,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,85.92,Green,1400,1900,1650
54,2013,Caturra,Exportadora De Cafe Condor S.A,"54, Exportadora De Cafe Condor S.A, 2013, Caturra",Arabica,Colombia,huila,8,8,8,8.17,7.83,8,10,10,10,7.92,85.92,Blue-Green,1800,1800,1800
55,2017,Gesha,Gonzalo Hernandez,"55, Gonzalo Hernandez, 2017, Gesha",Arabica,Panama,boquete,8,8,7.92,8.08,7.83,8,10,10,10,8,85.83,Bluish-Green,1600,1600,1600
56,2014,,Ibrahim Hussien Speciality Coffee Producer &Export,"56, Ibrahim Hussien Speciality Coffee Producer &Export, 2014",Arabica,Ethiopia,oromia,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,85.83,Green,1800,2000,1900
57,2012,Bourbon,Juan Luis Alvarado Romero,"57, Juan Luis Alvarado Romero, 2012, Bourbon",Arabica,Guatemala,acatenango,7.83,8,8,8.17,7.83,8,10,10,10,8,85.83,Green,464.5152,464.5152,464.5152
58,2012,Catuai,Juan Luis Alvarado Romero,"58, Juan Luis Alvarado Romero, 2012, Catuai",Arabica,Guatemala,nuevo oriente,8,8,7.83,8.33,7.83,7.83,10,10,10,8,85.83,Bluish-Green,431.999136,431.999136,431.999136
59,2017,Caturra,Seid Damtew Coffee Planataion,"59, Seid Damtew Coffee Planataion, 2017, Caturra",Arabica,Ethiopia,addis ababa,7.83,8,7.83,8.17,7.92,8,10,10,10,8,85.75,None,,,
60,2013,,Dane Loraas,"60, Dane Loraas, 2013",Arabica,Peru,cajamarca,8,8,8,8.08,7.92,7.75,10,10,10,8,85.75,Green,,,
61,2012,,"Colbran Coffeelands, Ltd.","61, Colbran Coffeelands, Ltd., 2012",Arabica,Papua New Guinea,eastern highlands province,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,85.75,Bluish-Green,1700,1700,1700
62,2013,Bourbon,Atlantic Specialty Coffee,"62, Atlantic Specialty Coffee, 2013, Bourbon",Arabica,El Salvador,apaneca,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,85.58,Blue-Green,1500,1500,1500
63,2012,Bourbon,Lusso Lab,"63, Lusso Lab, 2012, Bourbon",Arabica,El Salvador,"ataco, apaneca - ilamatepec mountain range",7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,85.58,None,1300,1400,1350
64,2012,Hawaiian Kona,Kona Pacific Farmers Cooperative,"64, Kona Pacific Farmers Cooperative, 2012, Hawaiian Kona",Arabica,United States,kona,7.83,8,7.92,7.75,8.08,8,10,10,10,8,85.58,,,,
65,2014,Caturra,Essencecoffee,"65, Essencecoffee, 2014, Caturra",Arabica,Panama,boquete,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,85.5,,1680,1680,1680
66,2014,SL28,Essencecoffee,"66, Essencecoffee, 2014, SL28",Arabica,Kenya,kirinyaga,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,85.5,Green,1900,1900,1900
67,2015,Other,Assefa Belay Coffee Producer,"67, Assefa Belay Coffee Producer, 2015, Other",Arabica,Ethiopia,oromia,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,85.5,Green,1800,2000,1900
68,2013,SL14,Kyagalanyi Ltd,"68, Kyagalanyi Ltd, 2013, SL14",Arabica,Uganda,bulambuli eastern region,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,85.5,Green,1600,1600,1600
69,2013,Bourbon,Juan Luis Alvarado Romero,"69, Juan Luis Alvarado Romero, 2013, Bourbon",Arabica,Guatemala,huehuetenango,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,85.5,Green,520.257024,535.1215104,527.6892672
70,2015,,Assefa Belay Coffee Producer,"70, Assefa Belay Coffee Producer, 2015",Arabica,Ethiopia,oromia,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,85.42,Green,1800,2000,1900
71,2013,SL14,Great Lakes Coffee Uganda,"71, Great Lakes Coffee Uganda, 2013, SL14",Arabica,Uganda,kapchorwa,8.08,8,7.83,7.67,8,7.83,10,10,10,8,85.42,Green,1950,1950,1950
72,2012,Hawaiian Kona,Kona Pacific Farmers Cooperative,"72, Kona Pacific Farmers Cooperative, 2012, Hawaiian Kona",Arabica,United States,kona,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,85.42,,,,
73,2011,Bourbon,Nucoffee,"73, Nucoffee, 2011, Bourbon",Arabica,Brazil,south of minas,8,8,8,7.67,7.75,8,10,10,10,8,85.42,Blue-Green,1250,1250,1250
74,2009,,Grounds For Health Admin,"74, Grounds For Health Admin, 2009",Arabica,El Salvador,apaneca,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,85.42,,1400,1400,1400
75,2015,Catimor,Yunnan Coffee Exchange,"75, Yunnan Coffee Exchange, 2015, Catimor",Arabica,China,yunnan,8,8,8,7.83,7.83,7.75,10,10,10,7.92,85.33,Green,1700,1700,1700
76,2014,Pacamara,Essencecoffee,"76, Essencecoffee, 2014, Pacamara",Arabica,Guatemala,huehuetenango,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,85.33,Green,1770,1770,1770
77,2014,Caturra,The Coffee Source Inc.,"77, The Coffee Source Inc., 2014, Caturra",Arabica,Costa Rica,west valley,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,85.33,Bluish-Green,1300,1300,1300
78,2014,Caturra,The Coffee Source Inc.,"78, The Coffee Source Inc., 2014, Caturra",Arabica,Costa Rica,san ramon,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,85.33,Bluish-Green,1300,1300,1300
79,2012,SL34,Rashid Moledina & Co. (Msa) Ltd.,"79, Rashid Moledina & Co. (Msa) Ltd., 2012, SL34",Arabica,Kenya,central kenya,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,85.33,Green,1600,1600,1600
80,2012,SL34,Ibero Kenya Limited,"80, Ibero Kenya Limited, 2012, SL34",Arabica,Kenya,central kenya,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,85.33,Green,1200,1200,1200
81,2009,,Ethiopia Commodity Exchange,"81, Ethiopia Commodity Exchange, 2009",Arabica,Ethiopia,yirgacheffe,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,85.33,,,,
82,2009,Typica,Ethiopia Commodity Exchange,"82, Ethiopia Commodity Exchange, 2009, Typica",Arabica,Ethiopia,yirgacheffe,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,85.33,,,,
83,2016,Bourbon,Juan Luis Alvarado Romero,"83, Juan Luis Alvarado Romero, 2016, Bourbon",Arabica,Guatemala,oriente,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,85.25,Green,,,
84,2015,Caturra,Exportadora De Cafe Condor S.A,"84, Exportadora De Cafe Condor S.A, 2015, Caturra",Arabica,Colombia,santander,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,85.25,Green,1550,1550,1550
85,2014,Caturra,Compa„±Ia Colombiana Agroindustrial S.A,"85, Compa„±Ia Colombiana Agroindustrial S.A, 2014, Caturra",Arabica,Colombia,santander,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,85.25,Green,1550,1550,1550
86,2012,Sumatra Lintong,"Nomura Trading Co., Ltd.","86, Nomura Trading Co., Ltd., 2012, Sumatra Lintong",Arabica,Indonesia,lintong,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,85.17,Green,1250,1400,1325
87,2012,Caturra,The Coffee Source Inc.,"87, The Coffee Source Inc., 2012, Caturra",Arabica,Guatemala,huehuetenango,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,85.17,,1400,1400,1400
88,2016,Other,Seid Damtew Coffee Planataion,"88, Seid Damtew Coffee Planataion, 2016, Other",Arabica,Ethiopia,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",7.75,8,7.58,8,8,7.92,10,10,10,7.83,85.08,Green,,,
89,2015,Caturra,Carcafe Ltda Ci,"89, Carcafe Ltda Ci, 2015, Caturra",Arabica,Colombia,pasto,8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,85.08,,2560,2560,2560
90,2014,,Steven Kil,"90, Steven Kil, 2014",Arabica,Ethiopia,aricha,8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,85.08,Green,1700,1700,1700
91,2014,Hawaiian Kona,Eileen Koyanagi,"91, Eileen Koyanagi, 2014, Hawaiian Kona",Arabica,United States,kona,7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,85.08,Bluish-Green,,,
92,2012,Caturra,Carcafe Ltda Ci,"92, Carcafe Ltda Ci, 2012, Caturra",Arabica,Colombia,cundinamarca,7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,85.08,Green,2136,2136,2136
93,2010,,Kona Pacific Farmers Cooperative,"93, Kona Pacific Farmers Cooperative, 2010",Arabica,United States,kona,8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,8.17,85.08,,,,
94,2010,,Ethiopia Commodity Exchange,"94, Ethiopia Commodity Exchange, 2010",Arabica,Ethiopia,sidamo,7.67,8,7.83,8,7.92,7.83,10,10,10,7.83,85.08,,,,
95,,,Kona Pacific Farmers Cooperative,"95, Kona Pacific Farmers Cooperative",Arabica,United States,kona,7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,7.92,85.08,,,,
96,2016,SL14,Kyagalanyi Coffee Ltd,"96, Kyagalanyi Coffee Ltd, 2016, SL14",Arabica,Uganda,eastern uganda,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,85,Green,1800,1800,1800
97,2016,Caturra,Racafe & Cia S.C.A,"97, Racafe & Cia S.C.A, 2016, Caturra",Arabica,Colombia,huila,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,85,Green,,,
98,2016,Catuai,Troy Quimby,"98, Troy Quimby, 2016, Catuai",Arabica,Costa Rica,tarrazu,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,85,Green,1900,1900,1900
99,2015,Typica,"El Equimite, Cafetal Biodin„°Mico","99, El Equimite, Cafetal Biodin„°Mico, 2015, Typica",Arabica,Mexico,veracruz,7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,85,Green,1300,1300,1300
100,2015,,Simon Mahinda,"100, Simon Mahinda, 2015",Arabica,Kenya,,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,85,Green,1,1,1
101,2012,SL34,Rashid Moledina & Co. (Msa) Ltd.,"101, Rashid Moledina & Co. (Msa) Ltd., 2012, SL34",Arabica,Kenya,central kenya,7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,85,Green,1580,1580,1580
102,2012,Mundo Novo,Nucoffee,"102, Nucoffee, 2012, Mundo Novo",Arabica,Brazil,grama valley,8,8,7.83,7.83,7.67,7.67,10,10,10,8,85,Green,1100,1100,1100
103,2010,Pacamara,Young Kim,"103, Young Kim, 2010, Pacamara",Arabica,Mexico,mexico,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,7.83,85,,1400,1400,1400
104,,,Kona Pacific Farmers Cooperative,"104, Kona Pacific Farmers Cooperative",Arabica,United States,kona,7.75,7.92,7.75,7.75,8,8,10,10,10,7.83,85,,,,
105,2009,,Carl Walker,"105, Carl Walker, 2009",Arabica,Guatemala,"chuva, san marcos",7.83,8.08,7.67,8,7.75,7.67,10,10,10,8,85,,325.16064,483.095808,404.128224
106,2016,Caturra,Racafe & Cia S.C.A,"106, Racafe & Cia S.C.A, 2016, Caturra",Arabica,Colombia,huila,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83,84.92,,,,
107,2015,Caturra,Racafe & Cia S.C.A,"107, Racafe & Cia S.C.A, 2015, Caturra",Arabica,Colombia,huila,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,84.92,Green,1600,1950,1775
108,2015,Typica,"Lin, Che-Hao Krude ∆ûó≈ì≤»±™","108, Lin, Che-Hao Krude ∆ûó≈ì≤»±™, 2015, Typica",Arabica,Taiwan,natou county,7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,84.92,Green,800,800,800
109,2014,Other,Taylor Winch (T) Ltd,"109, Taylor Winch (T) Ltd, 2014, Other",Arabica,Tanzania,mbeya,8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,84.92,Green,1620,1620,1620
110,2012,Caturra,Racafe & Cia S.C.A,"110, Racafe & Cia S.C.A, 2012, Caturra",Arabica,Colombia,huila,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,84.92,Green,1600,1950,1775
111,2012,Typica,Artemio Zapata Tejeda,"111, Artemio Zapata Tejeda, 2012, Typica",Arabica,Mexico,coatepec,7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,84.92,,1200,1200,1200
112,2011,Bourbon,Nucoffee,"112, Nucoffee, 2011, Bourbon",Arabica,Brazil,south of minas,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,84.92,Green,1200,1200,1200
113,2011,Catuai,Nucoffee,"113, Nucoffee, 2011, Catuai",Arabica,Brazil,south of minas,8,8,7.75,8,7.5,7.75,10,10,10,7.92,84.92,Green,1000,1000,1000
114,2009,,Brian Speckman,"114, Brian Speckman, 2009",Arabica,Kenya,,8,7.67,7.83,8.17,7.92,7.75,10,10,10,7.58,84.92,,,,
115,2016,Typica,"Lin, Che-Hao Krude ∆ûó≈ì≤»±™","115, Lin, Che-Hao Krude ∆ûó≈ì≤»±™, 2016, Typica",Arabica,Taiwan,"dongshan dist., tainan city Ëá∫ÂçóÂ∏ÇÊù±Â±±ÂçÄ",7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,84.83,Green,350,350,350
116,2013,SL14,Kawacom Uganda Ltd,"116, Kawacom Uganda Ltd, 2013, SL14",Arabica,Uganda,eastern,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,84.83,Green,1400,1900,1650
117,2012,Hawaiian Kona,Kona Pacific Farmers Cooperative,"117, Kona Pacific Farmers Cooperative, 2012, Hawaiian Kona",Arabica,United States,kona,7.67,7.75,7.75,7.75,7.83,8,10,10,10,8.08,84.83,,,,
118,2009,,Ethiopia Commodity Exchange,"118, Ethiopia Commodity Exchange, 2009",Arabica,Ethiopia,sidamo,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,8,84.83,,1500,2000,1750
119,2009,,Philip Schluter,"119, Philip Schluter, 2009",Arabica,Ethiopia,sidamo,7.42,7.92,7.92,8,7.83,7.83,10,10,10,7.92,84.83,,1500,2000,1750
120,2015,Caturra,∆ùæ∆æ§≈Æè∆®π Koju Matsuzawa,"120, ∆ùæ∆æ§≈Æè∆®π Koju Matsuzawa, 2015, Caturra",Arabica,Thailand,thailand,7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,84.75,Green,,,
121,2014,SL34,Lydiah Mwangi,"121, Lydiah Mwangi, 2014, SL34",Arabica,Kenya,nyeri,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,84.75,Green,1800,1800,1800
122,2014,Catuai,Cadexsa,"122, Cadexsa, 2014, Catuai",Arabica,Honduras,marcala,7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,84.75,Green,1450,1450,1450
123,2010,,The Coffee Source Inc.,"123, The Coffee Source Inc., 2010",Arabica,El Salvador,santa ana,7.75,8,8,8.33,7.67,7.92,10,10,9.33,7.75,84.75,,1200,1200,1200
124,2009,,Grounds For Health Admin,"124, Grounds For Health Admin, 2009",Arabica,Nicaragua,jinotega,7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,8.5,84.75,,800,1050,925
125,2016,Bourbon,Consejo Salvadore„±O Del Caf„©,"125, Consejo Salvadore„±O Del Caf„©, 2016, Bourbon",Arabica,El Salvador,apaneca,7.83,7.83,7.5,8,7.83,7.67,10,10,10,8,84.67,Blue-Green,1350,1350,1350
